level_indent,unique_key,sd_code,part_no,part_name,process,line_no,supplier,quantity
        4,TGP-04-H,TGP-04-H,72531-X7V16-H,"RATCHET, RECLINING ADJUSTER",Hardening,TGH-02,Inhouse(H),1.0
        4,TGP-04-A,TGP-04-A,72531-X7V16-A,"RATCHET, RECLINING ADJUSTER",Antirust,TGO-02,Inhouse(A),1.0
        4,TGP-02-W,TGP-02-W,72524-X7V44-W,"PLATE, RECLINING ADJUSTER LWR ARM, LH  (Guide)",Washing,570,Inhouse(W),1.0
        4,TGP-02-A,TGP-02-A,72524-X7V44-A,"PLATE, RECLINING ADJUSTER LWR ARM, LH  (Guide)",Antirust,TGO-02,Inhouse(A),1.0
        4,N32-27-W,N32-27-W,72513-X1F00-W,"PLATE, RECLINING ADJUSTER UPR ARM, RH  Ring",Washing,570,Inhouse,1.0
          5,PIC002,PIC002,PK-T4910N,PARKER CLEANER PK-T4910N,CLEANER,R1,Parker Inter,0.0011
        4,N32-27-A,N32-27-A,72513-X1F00-A,"PLATE, RECLINING ADJUSTER UPR ARM, RH  Ring",Anti Rust,572,Inhouse,1.0
          5,SUN001,SUN001,PRETON-R337W,PRETON R-337W (20 L/1can),Oil,R1,Top sun,0.0038
        4,N32-18-W,N32-18-W,72523-X1M06,"PLATE, RECLINING ADJUSTER LWR ARM, RH  Guied",Anti Rust,572,Inhouse,1.0
          5,SUN001,SUN001,PRETON-R337W,PRETON R-337W (20 L/1can),Oil,R1,Top sun,0.0038
          5,PIC002,PIC002,PK-T4910N,PARKER CLEANER PK-T4910N,CLEANER,R1,Parker Inter,0.0011
        4,N32-18-A,N32-18-A,72523-X1M06-A,"PLATE, RECLINING ADJUSTER LWR ARM, RH  Guied",Washing,570,Inhouse,1.0
          5,PIC002,PIC002,PK-T4910N,PARKER CLEANER PK-T4910N,CLEANER,R1,Parker Inter,0.0011
          5,SUN001,SUN001,PRETON-R337W,PRETON R-337W (20 L/1can),Oil,R1,Top sun,0.0038
        4,N32-02-W,N32-02-W,72531-X1C02-W,"RATCHET, RECLINING ADJUSTER",Washing,570,Inhouse,1.0
          5,PIC002,PIC002,PK-T4910N,PARKER CLEANER PK-T4910N,CLEANER,R1,Parker Inter,0.0011
        4,N32-02-H,N32-02-H,72531-X1C02-H,"RATCHET, RECLINING ADJUSTER",HARDENING,571,Inhouse,1.0
    2,TGP-02,TGP-02,72524-X7V44,"PLATE, RECLINING ADJUSTER LWR ARM, LH",,570-B10,Inhouse(P),1.0
      3,HAN121,HAN121,SPH59-36150,SPH590-ODx3.6x150xC (P=75),,,TTAST,0.159
      3,SUN003,SUN003,SUNFB-688P,SUNPRESS FB-688P(200L/1Pail),Oil,R1,Top sun,0.0013
        4,N32-27,N32-27,72513-X1F00,"PLATE, RECLINING ADJUSTER UPR ARM, RH  Ring",600T,501,Inhouse(P),1.0
          5,HAN032,HAN032,SPH27-14190-1,SPH270C-OD 1.4 X 190/2 X C(P=100),Coil,R4,TTAST,0.20881
,,,,,,,,0.0013
          5,PN:72513-X1F00,,72513-X1F00,"PLATE, RECLINING ADJUSTER UPR ARM, RH  Ring",Washing,570,Inhouse,1.0
            6,PIC002,PIC002,PK-T4910N,PARKER CLEANER PK-T4910N,CLEANER,R1,Parker Inter,0.0011
            6,SUN001,SUN001,PRETON-R337W,PRETON R-337W (20 L/1can),Oil,R1,Top sun,0.0038
,,,,,,,,1.0
          5,PIC002,PIC002,PK-T4910N,PARKER CLEANER PK-T4910N,CLEANER,R1,Parker Inter,0.0011
          5,SUN001,SUN001,PRETON-R337W,PRETON R-337W (20 L/1can),Oil,R1,Top sun,0.0038
          5,N32-27-W,N32-27-W,72513-X1F00-W,"PLATE, RECLINING ADJUSTER UPR ARM, RH  Ring",Washing,570,Inhouse,1.0
            6,PIC002,PIC002,PK-T4910N,PARKER CLEANER PK-T4910N,CLEANER,R1,Parker Inter,0.0011
          5,N32-27-A,N32-27-A,72513-X1F00-A,"PLATE, RECLINING ADJUSTER UPR ARM, RH  Ring",Anti Rust,572,Inhouse,1.0
            6,SUN001,SUN001,PRETON-R337W,PRETON R-337W (20 L/1can),Oil,R1,Top sun,0.0038
        4,PIC002,PIC002,PK-T4910N,PARKER CLEANER PK-T4910N,CLEANER,R1,Parker Inter,0.0011
        4,SUN001,SUN001,PRETON-R337W,PRETON R-337W (20 L/1can),Oil,R1,Top sun,0.3
        4,N32-18,N32-18,72523-X1M06,"PLATE, RECLINING ADJUSTER LWR ARM, RH  Guied",600T,501,Inhouse(P),1.0
          5,HAN033,HAN033,SPH44-4384,SPH440-OD-T 4.3X84 (P=86),Coil,R4,TTAST,0.243846
,,,,,,,,0.0025
          5,PN:72523-X1M06,,72523-X1M06,"PLATE, RECLINING ADJUSTER LWR ARM, RH  Guied",Washing,570,Inhouse,1.0
            6,PIC002,PIC002,PK-T4910N,PARKER CLEANER PK-T4910N,CLEANER,R1,Parker Inter,0.0011
            6,SUN001,SUN001,PRETON-R337W,PRETON R-337W (20 L/1can),Oil,R1,Top sun,0.0038
,,,,,,,,1.0
          5,PIC002,PIC002,PK-T4910N,PARKER CLEANER PK-T4910N,CLEANER,R1,Parker Inter,0.0011
